Date,Price,Open,High,Low,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
2016-05-12,2.574,2.561,2.604,2.552,-0.16,2.6099,2.6052435547930326,44.86369050193418,-0.004322106626522437,0.007654640745223606,-0.011976747371746043
2016-05-11,2.578,2.581,2.596,2.56,0.27,2.5964,2.6002901811942993,45.431778797396376,-0.0064768614929544555,0.004828340297587994,-0.011305201790542448
2016-05-10,2.571,2.596,2.596,2.554,-0.54,2.5858,2.594964693704427,44.56639573213833,-0.008649653921151579,0.0021327414538400793,-0.010782395374991658
2016-05-09,2.585,2.621,2.627,2.563,-0.42,2.5844,2.593152931212713,46.75100970560013,-0.009136603499696694,-0.0001211275368672752,-0.009015475962829419
2016-05-06,2.596,2.6,2.608,2.563,-0.69,2.5842,2.5936705800831286,48.46937821683439,-0.00853650298716424,-0.0018042026269266683,-0.0067323003602375725
2016-05-05,2.614,2.566,2.614,2.515,1.48,2.5884,2.5973668382498323,51.24214911227807,-0.006533159246722597,-0.0027499939508858545,-0.003783165295836743
2016-05-04,2.576,2.682,2.702,2.422,-4.20,2.5856,2.5934819585680446,45.6568054508051,-0.00792047501422033,-0.0037840901635527494,-0.00413638485066758
2016-05-03,2.689,2.72,2.725,2.689,-0.88,2.5961,2.6108488751920365,59.71778166171134,9.710351568026354e-05,-0.0030078514277061467,0.0031049549433864103
2016-04-29,2.713,2.725,2.75,2.708,-1.24,2.6081,2.6294218069753024,61.96854939757252,0.008292105457731402,-0.000747860050618637,0.00903996550835004
2016-04-28,2.747,2.72,2.7556,2.689,-0.65,2.6243,2.65079966025252,64.95588970768443,0.017330444808822953,0.002867800921269681,0.014462643887553273
2016-04-27,2.765,2.754,2.784,2.746,0.22,2.6434,2.6715633583884255,66.45802387747219,0.025650164302597478,0.00742427359753524,0.01822589070506224
2016-04-26,2.759,2.756,2.781,2.734,0.58,2.6615,2.6874609295905296,65.45092319055665,0.03139752100794668,0.012218923079617531,0.019178597928329152
2016-04-25,2.743,2.725,2.746,2.709,0.88,2.6787,2.6975589423922517,62.72135278323579,0.034266276022018705,0.016628393668097766,0.017637882353920938
2016-04-22,2.719,2.744,2.749,2.709,-0.95,2.6921,2.701457316502751,58.76262486518267,0.03420884731769336,0.020144484398016888,0.01406436291967647
2016-04-21,2.745,2.775,2.784,2.745,-0.97,2.707,2.709374168047705,61.59089698135111,0.03584808297877551,0.023285204114168612,0.012562878864606896
2016-04-20,2.772,2.75,2.787,2.75,0.43,2.7228000000000003,2.7207606829481223,64.32707294620678,0.03887770541433744,0.026403704374202377,0.01247400104013506
2016-04-19,2.76,2.784,2.798,2.753,-1.08,2.7412,2.727895104230282,62.20605339088553,0.03985102549445774,0.02909316859825345,0.010757856896204288
2016-04-18,2.79,2.798,2.809,2.759,-0.25,2.7513,2.73918690346114,65.28754444380698,0.04255261785928788,0.031785058450460334,0.010767559408827544
2016-04-15,2.797,2.806,2.814,2.773,-0.04,2.7597,2.749698375559114,65.98445582606135,0.04474272449430483,0.03437659165922923,0.010366132835075599
2016-04-14,2.798,2.821,2.821,2.775,-0.36,2.7648,2.75848048909382,66.08919688003229,0.046028503487617556,0.0367069740249069,0.009321529462710657
2016-04-13,2.808,2.804,2.81,2.756,0.65,2.7691,2.7674840365313074,67.17761153620503,0.047309059639213835,0.038827391147768286,0.008481668491445549
