Date,Price,Open,High,Low,Vol.,Change %
1997-02-04,"6,145.41","6,143.80","6,156.94","6,141.21",,0.07%
1997-02-05,"6,112.41","6,154.88","6,159.18","6,105.42",,-0.54%
1997-02-06,"6,071.89","6,104.19","6,104.19","6,071.05",,-0.66%
1997-02-07,"6,101.74","6,092.64","6,101.74","6,063.06",,0.49%
1997-02-10,"6,081.27","6,109.15","6,112.53","6,074.75",,-0.34%
1997-02-11,"6,126.92","6,096.89","6,127.00","6,093.49",,0.75%
1997-02-12,"6,165.38","6,136.24","6,172.13","6,131.56",,0.63%
1997-02-13,"6,225.78","6,190.07","6,225.83","6,190.07",,0.98%
1997-02-14,"6,214.24","6,226.73","6,226.73","6,199.02",,-0.19%
1997-02-17,"6,217.60","6,206.23","6,220.83","6,206.23",,0.05%
1997-02-18,"6,238.22","6,220.65","6,238.22","6,208.28",,0.33%
1997-02-19,"6,248.86","6,239.29","6,260.73","6,239.29",,0.17%
1997-02-20,"6,205.07","6,237.07","6,245.10","6,205.07",,-0.70%
1997-02-21,"6,226.95","6,220.87","6,226.95","6,207.49",,0.35%
1997-02-24,"6,242.52","6,211.31","6,242.81","6,211.31",,0.25%
1997-02-25,"6,247.78","6,245.19","6,247.79","6,226.46",,0.08%
1997-02-26,"6,201.43","6,244.01","6,250.79","6,187.05",,-0.74%
1997-02-27,"6,187.46","6,193.46","6,203.23","6,174.33",,-0.23%
1997-02-28,"6,157.84","6,146.83","6,158.25","6,131.76",,-0.48%
1997-03-03,"6,145.98","6,125.02","6,145.98","6,116.94",,-0.19%
1997-03-04,"6,155.05","6,148.40","6,169.07","6,144.78",,0.15%
1997-03-05,"6,203.12","6,164.44","6,207.49","6,162.52",,0.78%
1997-03-06,"6,214.73","6,220.56","6,222.89","6,211.16",,0.19%
1997-03-07,"6,268.39","6,229.34","6,277.42","6,229.34",,0.86%
1997-03-10,"6,332.87","6,278.58","6,333.27","6,274.82",,1.03%
1997-03-11,"6,305.46","6,348.02","6,348.02","6,299.45",,-0.43%
1997-03-12,"6,257.21","6,283.58","6,283.58","6,251.49",,-0.77%
1997-03-13,"6,165.86","6,212.90","6,219.01","6,162.84",,-1.46%
1997-03-14,"6,197.71","6,182.97","6,197.71","6,176.84",,0.52%
1997-03-17,"6,154.54","6,161.13","6,167.43","6,123.59",,-0.70%
1997-03-18,"6,129.28","6,153.33","6,153.33","6,126.60",,-0.41%
1997-03-19,"6,088.96","6,122.89","6,122.89","6,081.74",,-0.66%
1997-03-20,"6,055.28","6,080.21","6,080.21","6,050.60",,-0.55%
1997-03-21,"6,074.78","6,057.18","6,075.20","6,049.01",,0.32%
1997-03-24,"6,144.25","6,090.80","6,144.25","6,087.46",,1.14%
1997-03-25,"6,143.76","6,154.64","6,166.91","6,131.93",,-0.01%
1997-03-26,"6,122.84","6,134.35","6,142.39","6,118.98",,-0.34%
1997-03-27,"5,931.75","6,108.57","6,108.57","5,931.63",,-3.12%
1997-03-31,"5,850.22","5,907.44","5,908.81","5,808.52",,-1.37%
1997-04-01,"5,900.37","5,840.29","5,900.37","5,840.29",,0.86%
1997-04-02,"5,849.14","5,896.78","5,901.66","5,828.88",,-0.87%
1997-04-03,"5,826.56","5,863.90","5,870.64","5,805.41",,-0.39%
1997-04-04,"5,817.29","5,790.01","5,818.13","5,781.76",,-0.16%
1997-04-07,"5,840.78","5,844.91","5,851.76","5,831.25",,0.40%
1997-04-08,"5,821.01","5,828.92","5,828.92","5,805.98",,-0.34%
1997-04-09,"5,798.71","5,843.86","5,843.86","5,792.71",66.89M,-0.38%
1997-04-10,"5,790.11","5,796.37","5,805.55","5,790.01",50.33M,-0.15%
1997-04-11,"5,683.64","5,731.81","5,731.81","5,683.37",62.24M,-1.84%
1997-04-14,"5,679.33","5,676.39","5,681.98","5,657.96",39.56M,-0.08%
1997-04-15,"5,743.55","5,723.03","5,743.55","5,716.30",51.29M,1.13%
1997-04-16,"5,798.82","5,726.97","5,799.11","5,726.97",51.96M,0.96%
1997-04-17,"5,828.62","5,801.81","5,843.03","5,801.81",57.81M,0.51%
1997-04-18,"5,826.27","5,839.87","5,839.87","5,826.19",44.96M,-0.04%
1997-04-21,"5,797.65","5,832.14","5,839.63","5,791.27",36.36M,-0.49%
1997-04-22,"5,855.37","5,802.74","5,855.37","5,797.01",55.35M,1.00%
1997-04-23,"5,874.13","5,868.08","5,881.73","5,860.07",64.71M,0.32%
1997-04-24,"5,864.79","5,906.29","5,906.29","5,854.65",67.47M,-0.16%
1997-04-25,"5,835.31","5,856.22","5,856.22","5,830.37",48.08M,-0.50%
1997-04-28,"5,835.61","5,823.82","5,836.34","5,814.93",47.46M,0.01%
1997-04-29,"5,903.56","5,895.55","5,909.02","5,881.55",62.19M,1.16%
1997-04-30,"5,976.63","5,890.12","5,976.63","5,890.12",62.07M,1.24%
1997-05-01,"6,009.90","5,973.29","6,010.11","5,973.29",66.75M,0.56%
1997-05-02,"6,106.91","6,046.57","6,107.03","6,046.57",73.93M,1.61%
1997-05-05,"6,150.73","6,107.67","6,153.64","6,102.14",50.20M,0.72%
1997-05-06,"6,129.96","6,129.73","6,142.85","6,118.65",8.41M,-0.34%
1997-05-07,"6,121.52","6,128.68","6,132.50","6,120.35",71.15M,-0.14%
1997-05-08,"6,157.44","6,115.88","6,197.28","6,115.88",65.76M,0.59%
1997-05-09,"6,229.52","6,212.44","6,229.52","6,191.00",66.33M,1.17%
1997-05-12,"6,272.58","6,239.04","6,277.32","6,239.04",53.69M,0.69%
1997-05-13,"6,249.24","6,275.91","6,275.91","6,247.79",57.89M,-0.37%
1997-05-14,"6,248.18","6,275.24","6,276.65","6,245.61",57.91M,-0.02%
1997-05-15,"6,276.65","6,243.98","6,276.65","6,239.93",55.94M,0.46%
1997-05-16,"6,247.38","6,258.04","6,258.86","6,236.46",47.44M,-0.47%
1997-05-20,"6,260.14","6,233.54","6,260.14","6,213.22",49.46M,0.20%
1997-05-21,"6,307.13","6,289.37","6,307.13","6,272.82",57.67M,0.75%
1997-05-22,"6,336.02","6,323.83","6,336.02","6,309.86",50.09M,0.46%
1997-05-23,"6,421.51","6,368.84","6,423.89","6,366.02",61.85M,1.35%
1997-05-26,"6,491.13","6,440.62","6,491.13","6,440.62",31.89M,1.08%
1997-05-27,"6,442.54","6,459.09","6,459.09","6,420.67",55.75M,-0.75%
1997-05-28,"6,389.03","6,440.01","6,440.01","6,377.84",48.58M,-0.83%
1997-05-29,"6,370.33","6,390.85","6,390.85","6,363.33",43.55M,-0.29%
1997-05-30,"6,382.12","6,316.04","6,383.72","6,316.04",53.87M,0.19%
1997-06-02,"6,406.08","6,403.39","6,409.55","6,388.77",37.36M,0.38%
1997-06-03,"6,432.72","6,409.80","6,437.44","6,409.34",50.70M,0.42%
1997-06-04,"6,428.62","6,423.70","6,444.26","6,423.70",59.72M,-0.06%
1997-06-05,"6,449.48","6,437.81","6,474.59","6,437.81",56.90M,0.32%
1997-06-06,"6,492.10","6,463.07","6,498.52","6,460.99",56.80M,0.66%
1997-06-09,"6,467.41","6,501.87","6,507.08","6,464.49",53.46M,-0.38%
1997-06-10,"6,473.04","6,480.88","6,487.69","6,458.94",71.94M,0.09%
1997-06-11,"6,459.51","6,465.94","6,471.16","6,453.32",55.18M,-0.21%
1997-06-12,"6,515.61","6,467.77","6,515.61","6,467.77",55.44M,0.87%
1997-06-13,"6,550.61","6,527.76","6,554.12","6,527.76",61.47M,0.54%
1997-06-16,"6,537.47","6,557.03","6,557.03","6,537.47",48.13M,-0.20%
1997-06-17,"6,532.34","6,523.92","6,543.34","6,517.03",49.24M,-0.08%
1997-06-18,"6,498.14","6,511.84","6,522.30","6,498.14",50.08M,-0.52%
1997-06-19,"6,512.71","6,524.21","6,534.81","6,512.71",64.52M,0.22%
1997-06-20,"6,511.43","6,523.21","6,528.72","6,508.84",55.51M,-0.02%
1997-06-23,"6,437.71","6,491.91","6,510.56","6,437.71",52.38M,-1.13%
1997-06-24,"6,490.96","6,463.46","6,490.96","6,449.08",54.38M,0.83%
1997-06-25,"6,515.08","6,515.68","6,533.84","6,493.49",65.10M,0.37%
1997-06-26,"6,453.65","6,486.79","6,495.22","6,449.34",60.55M,-0.94%
1997-06-27,"6,426.40","6,448.82","6,448.82","6,423.89",65.16M,-0.42%
1997-06-30,"6,437.74","6,432.55","6,437.74","6,404.94",25.44M,0.18%
1997-07-02,"6,549.04","6,471.45","6,549.04","6,471.45",54.37M,1.73%
1997-07-03,"6,588.04","6,610.08","6,615.35","6,578.43",54.87M,0.60%
1997-07-04,"6,585.44","6,578.32","6,585.57","6,559.74",44.68M,-0.04%
1997-07-07,"6,529.12","6,562.61","6,570.83","6,525.48",61.38M,-0.86%
1997-07-08,"6,580.84","6,540.61","6,581.87","6,532.78",59.81M,0.79%
1997-07-09,"6,574.61","6,596.04","6,607.09","6,559.92",68.30M,-0.09%
1997-07-10,"6,592.92","6,583.91","6,596.56","6,569.31",62.88M,0.28%
1997-07-11,"6,626.40","6,600.93","6,633.08","6,600.93",56.89M,0.51%
1997-07-14,"6,639.60","6,639.78","6,650.72","6,624.04",52.68M,0.20%
1997-07-15,"6,655.93","6,644.94","6,655.93","6,616.28",56.57M,0.25%
1997-07-16,"6,744.81","6,705.84","6,746.18","6,698.07",64.23M,1.34%
1997-07-17,"6,755.13","6,744.55","6,765.09","6,738.92",61.03M,0.15%
1997-07-18,"6,738.19","6,739.93","6,751.75","6,700.10",48.54M,-0.25%
1997-07-21,"6,647.39","6,697.30","6,697.30","6,641.24",38.88M,-1.35%
1997-07-22,"6,714.25","6,673.33","6,714.25","6,668.16",61.79M,1.01%
1997-07-23,"6,765.16","6,761.30","6,767.14","6,743.94",62.13M,0.76%
1997-07-24,"6,785.15","6,780.28","6,787.37","6,753.07",61.74M,0.30%
1997-07-25,"6,780.27","6,793.22","6,803.71","6,773.66",51.42M,-0.07%
1997-07-28,"6,792.31","6,786.29","6,814.47","6,786.29",57.04M,0.18%
1997-07-29,"6,801.17","6,776.68","6,801.17","6,776.68",61.82M,0.13%
1997-07-30,"6,850.57","6,818.77","6,850.63","6,818.77",92.14M,0.73%
1997-07-31,"6,877.68","6,872.09","6,881.94","6,857.03",69.75M,0.40%
1997-08-01,"6,851.14","6,877.30","6,877.30","6,811.21",52.44M,-0.39%
1997-08-05,"6,903.08","6,876.85","6,904.41","6,858.55",48.40M,0.76%
1997-08-06,"6,933.70","6,893.45","6,941.81","6,893.45",51.44M,0.44%
1997-08-07,"6,945.07","6,960.06","6,964.08","6,942.79",56.49M,0.16%
1997-08-08,"6,895.15","6,888.86","6,910.66","6,859.13",48.44M,-0.72%
1997-08-11,"6,840.37","6,882.69","6,882.69","6,815.32",55.71M,-0.79%
1997-08-12,"6,808.50","6,851.96","6,856.71","6,808.50",61.48M,-0.47%
1997-08-13,"6,791.02","6,837.23","6,837.23","6,757.12",59.55M,-0.26%
1997-08-14,"6,766.85","6,806.87","6,806.87","6,760.37",69.77M,-0.36%
1997-08-15,"6,695.09","6,733.12","6,733.12","6,695.09",40.11M,-1.06%
1997-08-18,"6,655.32","6,664.00","6,677.04","6,582.16",46.80M,-0.59%
1997-08-19,"6,715.88","6,687.12","6,731.23","6,683.64",62.91M,0.91%
1997-08-20,"6,773.13","6,699.50","6,773.13","6,699.50",80.76M,0.85%
1997-08-21,"6,732.97","6,781.79","6,782.26","6,726.65",73.50M,-0.59%
1997-08-22,"6,709.78","6,647.65","6,709.78","6,644.47",47.21M,-0.34%
1997-08-25,"6,732.91","6,722.31","6,752.56","6,721.40",36.69M,0.34%
1997-08-26,"6,697.91","6,728.94","6,742.82","6,696.03",50.34M,-0.52%
1997-08-27,"6,674.17","6,698.63","6,698.63","6,645.93",52.78M,-0.35%
1997-08-28,"6,632.95","6,659.93","6,659.93","6,622.26",50.14M,-0.62%
1997-08-29,"6,611.79","6,623.77","6,623.77","6,599.28",37.12M,-0.32%
1997-09-02,"6,673.25","6,618.25","6,676.85","6,618.25",57.54M,0.93%
1997-09-03,"6,704.16","6,698.98","6,719.74","6,695.86",55.64M,0.46%
1997-09-04,"6,722.06","6,709.96","6,734.59","6,709.96",60.00M,0.27%
1997-09-05,"6,743.22","6,749.61","6,750.09","6,723.09",48.84M,0.31%
1997-09-08,"6,764.08","6,758.54","6,774.36","6,756.69",52.88M,0.31%
1997-09-09,"6,799.52","6,757.70","6,799.69","6,757.64",56.81M,0.52%
1997-09-10,"6,769.46","6,790.74","6,798.94","6,766.91",78.32M,-0.44%
1997-09-11,"6,741.87","6,740.24","6,743.25","6,705.84",61.63M,-0.41%
1997-09-12,"6,766.10","6,760.74","6,766.10","6,726.82",55.27M,0.36%
1997-09-15,"6,787.89","6,775.79","6,796.42","6,769.40",45.29M,0.32%
